Kontonummer,Kontobezeichnung,Volle Kontobezeichnung
4860,Grundstückserträge,04. Sonstige betriebliche Erträge:Grundstückserträge
4861,"Erlöse aus Vermietung und Verpachtung, umsatzsteuerfrei § 4 Nr. 12 UStG","04. Sonstige betriebliche Erträge:Erlöse aus Vermietung und Verpachtung, umsatzsteuerfrei § 4 Nr. 12 UStG"
4862,Erlöse aus Vermietung und Verpachtung 19 % USt,04. Sonstige betriebliche Erträge:Erlöse aus Vermietung und Verpachtung 19 % USt
4865,Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens 19 % USt für § 4 Abs. 3 Satz 4 EStG,04. Sonstige betriebliche Erträge:Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens 19 % USt für § 4 Abs. 3 Satz 4 EStG
4866,"Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens, umsatzsteuerfrei § 4 Nr. 8 ff. UStG i. V. m. § 4 Abs. 3 Satz 4 EStG","04. Sonstige betriebliche Erträge:Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens, umsatzsteuerfrei § 4 Nr. 8 ff. UStG i. V. m. § 4 Abs. 3 Satz 4 EStG"
4867,"Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens, umsatzsteuerfrei § 4 Nr. 8 ff. UStG i. V. m. § 4 Abs. 3 Satz 4 EStG, § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG","04. Sonstige betriebliche Erträge:Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens, umsatzsteuerfrei § 4 Nr. 8 ff. UStG i. V. m. § 4 Abs. 3 Satz 4 EStG, § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG"
4869,Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG,04. Sonstige betriebliche Erträge:Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG
4900,Erträge aus Abgang von Gegenständen des Anlagevermögens,04. Sonstige betriebliche Erträge:Erträge aus Abgang von Gegenständen des Anlagevermögens
4901,Erträge aus der Veräußerung von Anteilen an Kapitalgesellschaften 100 %/50 % steuerfrei,04. Sonstige betriebliche Erträge:Erträge aus der Veräußerung von Anteilen an Kapitalgesellschaften 100 %/50 % steuerfrei
4905,Erträge aus dem Abgang von Gegenständen des Umlaufvermögens außer Vorräten,04. Sonstige betriebliche Erträge:Erträge aus dem Abgang von Gegenständen des Umlaufvermögens außer Vorräten
4906,Erträge aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräten) 100%/50% steuerfrei,04. Sonstige betriebliche Erträge:Erträge aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräten) 100%/50% steuerfrei
4910,Erträge aus Zuschreibungen des Sachanlagevermögen,04. Sonstige betriebliche Erträge:Erträge aus Zuschreibungen des Sachanlagevermögen
4911,Erträge aus Zuschreibungen des immateriellen Anlagevermög.,04. Sonstige betriebliche Erträge:Erträge aus Zuschreibungen des immateriellen Anlagevermög.
4912,Erträge aus Zuschreibungen des Finanzanlagevermögens,04. Sonstige betriebliche Erträge:Erträge aus Zuschreibungen des Finanzanlagevermögens
4913,Erträge aus Zuschreibungen des Finanzanlagevermögens 100 %/50 % steuerfrei,04. Sonstige betriebliche Erträge:Erträge aus Zuschreibungen des Finanzanlagevermögens 100 %/50 % steuerfrei
4914,Erträge aus Zuschreibungen des anderen Anlagevermögens 100 %/50 % steuerfrei,04. Sonstige betriebliche Erträge:Erträge aus Zuschreibungen des anderen Anlagevermögens 100 %/50 % steuerfrei
4915,Erträge aus Zuschreibungen des Umlaufvermögens außer Vorräten,04. Sonstige betriebliche Erträge:Erträge aus Zuschreibungen des Umlaufvermögens außer Vorräten
4916,Erträge aus Zuschreibungen des Umlaufvermögens 100 % /50 % steuerfrei,04. Sonstige betriebliche Erträge:Erträge aus Zuschreibungen des Umlaufvermögens 100 % /50 % steuerfrei
4920,Erträge aus der Herabsetzung der Pauschalwertberichtigung zu Forderungen,04. Sonstige betriebliche Erträge:Erträge aus der Herabsetzung der Pauschalwertberichtigung zu Forderungen
4923,Erträge aus der Herabsetzung der Einzelwertberichtigung zu Forderungen,04. Sonstige betriebliche Erträge:Erträge aus der Herabsetzung der Einzelwertberichtigung zu Forderungen
4925,Erträge aus abgeschriebenen Forderungen,04. Sonstige betriebliche Erträge:Erträge aus abgeschriebenen Forderungen
4927,Erträge aus der Auflösung einer steuerlichen Rücklage nach § 6b Abs. 3 EStG,04. Sonstige betriebliche Erträge:Erträge aus der Auflösung einer steuerlichen Rücklage nach § 6b Abs. 3 EStG
4928,Erträge aus der Auflösung einer steuerlichen Rücklage nach § 6b Abs. 10 EStG,04. Sonstige betriebliche Erträge:Erträge aus der Auflösung einer steuerlichen Rücklage nach § 6b Abs. 10 EStG
4929,"Erträge aus der Auflösung der Rücklage für Ersatzbeschaffung, R 6.6 EStR","04. Sonstige betriebliche Erträge:Erträge aus der Auflösung der Rücklage für Ersatzbeschaffung, R 6.6 EStR"
4930,Erträge aus der Auflösung von Rückstellungen,04. Sonstige betriebliche Erträge:Erträge aus der Auflösung von Rückstellungen
4932,Erträge aus der steuerlich niedrigeren Bewertung von Rückstellungen,04. Sonstige betriebliche Erträge:Erträge aus der steuerlich niedrigeren Bewertung von Rückstellungen
4935,Erträge aus der Auflösung von Sonderposten mit Rücklageanteil (steuerfreie Rücklagen),04. Sonstige betriebliche Erträge:Erträge aus der Auflösung von Sonderposten mit Rücklageanteil (steuerfreie Rücklagen)
4937,Erträge aus der Auflösung von Sonderposten mit Rücklageanteil (Sonderabschreibungen),04. Sonstige betriebliche Erträge:Erträge aus der Auflösung von Sonderposten mit Rücklageanteil (Sonderabschreibungen)
4938,Erträge aus der Auflösung von Sonderposten mit Rücklageanteil (aus der Währungsumstellung auf den Euro),04. Sonstige betriebliche Erträge:Erträge aus der Auflösung von Sonderposten mit Rücklageanteil (aus der Währungsumstellung auf den Euro)
4940,Verrechnete sonstige Sachbezüge (keine Waren),04. Sonstige betriebliche Erträge:Verrechnete sonstige Sachbezüge (keine Waren)
4941,Sachbezüge 7% USt,04. Sonstige betriebliche Erträge:Sachbezüge 7% USt
4945,Sachbezüge 19% USt,04. Sonstige betriebliche Erträge:Sachbezüge 19% USt
4946,Verrechnete sonstige Sachbezüge,04. Sonstige betriebliche Erträge:Verrechnete sonstige Sachbezüge
4947,Verrechnete sonstige Sachbezüge aus Kfz-Gestellung 19 % USt,04. Sonstige betriebliche Erträge:Verrechnete sonstige Sachbezüge aus Kfz-Gestellung 19 % USt
4948,Verrechnete sonstige Sachbezüge 19 % USt,04. Sonstige betriebliche Erträge:Verrechnete sonstige Sachbezüge 19 % USt
4949,Verrechnete sonstige Sachbezüge ohne Umsatzsteuer,04. Sonstige betriebliche Erträge:Verrechnete sonstige Sachbezüge ohne Umsatzsteuer
4960,Periodenfremde Erträge,04. Sonstige betriebliche Erträge:Periodenfremde Erträge
4970,Versicherungsentschädigungen,04. Sonstige betriebliche Erträge:Versicherungsentschädigungen
4972,Erstattungen Aufwendungsausgleichsgesetz,04. Sonstige betriebliche Erträge:Erstattungen Aufwendungsausgleichsgesetz
4975,Investitionszuschüsse,04. Sonstige betriebliche Erträge:Investitionszuschüsse
4980,Investitionszulagen,04. Sonstige betriebliche Erträge:Investitionszulagen
4981,Steuerfreie Erträge aus der Auflösung von Sonderposten mit Rücklageanteil,04. Sonstige betriebliche Erträge:Steuerfreie Erträge aus der Auflösung von Sonderposten mit Rücklageanteil
4982,Sonstige steuerfreie Betriebseinnahmen,04. Sonstige betriebliche Erträge:Sonstige steuerfreie Betriebseinnahmen
4987,Erträge aus der Aktivierung unentgeltlich erworbener Vermögensgegenstände,04. Sonstige betriebliche Erträge:Erträge aus der Aktivierung unentgeltlich erworbener Vermögensgegenstände
4989,"Kostenerstattungen, Rückvergütungen und Gutschriften für frühere Jahre","04. Sonstige betriebliche Erträge:Kostenerstattungen, Rückvergütungen und Gutschriften für frühere Jahre"
4992,Erträge aus Verwaltungskostenumlagen,04. Sonstige betriebliche Erträge:Erträge aus Verwaltungskostenumlagen
,09. Erträge aus Beteiligungen,09. Erträge aus Beteiligungen
,- davon aus verbundenen Unternehmen,09. Erträge aus Beteiligungen:- davon aus verbundenen Unternehmen
7006,Laufende Erträge aus Anteilen an Kapitalgesellschaften (verbundene Unternehmen) 100 % / 50 % steuerfrei,09. Erträge aus Beteiligungen:- davon aus verbundenen Unternehmen:Laufende Erträge aus Anteilen an Kapitalgesellschaften (verbundene Unternehmen) 100 % / 50 % steuerfrei
7009,Erträge aus Beteiligungen an Finanzverbundenen Unternehmen,09. Erträge aus Beteiligungen:- davon aus verbundenen Unternehmen:Erträge aus Beteiligungen an Finanzverbundenen Unternehmen
7000,Erträge aus Beteiligungen,09. Erträge aus Beteiligungen:Erträge aus Beteiligungen
7002,Erträge aus typisch stillen Beteiligungen,09. Erträge aus Beteiligungen:Erträge aus Beteiligungen:Erträge aus typisch stillen Beteiligungen
7003,Erträge aus atypisch stillen Beteiligungen,09. Erträge aus Beteiligungen:Erträge aus Beteiligungen:Erträge aus atypisch stillen Beteiligungen
7004,"Erträge aus Beteiligungen an Personengesellschaften (verbundene Unternehmen), § 9 GewStG bzw. § 18 EStG","09. Erträge aus Beteiligungen:Erträge aus Beteiligungen:Erträge aus Beteiligungen an Personengesellschaften (verbundene Unternehmen), § 9 GewStG bzw. § 18 EStG"
7005,Erträge aus Anteilen an Kapitalgesellschaften (Beteiligung) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 KStG9,09. Erträge aus Beteiligungen:Erträge aus Beteiligungen:Erträge aus Anteilen an Kapitalgesellschaften (Beteiligung) § 3 Nr. 40 EStG bzw. § 8b Abs. 1 KStG9
7008,Gewinnanteile aus Mitunternehmerschaften §9 GewStG,09. Erträge aus Beteiligungen:Erträge aus Beteiligungen:Gewinnanteile aus Mitunternehmerschaften §9 GewStG
,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens
,- davon aus verbundenen Unternehmen,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:- davon aus verbundenen Unternehmen
7015,Laufende Erträge aus Anteilen Wertpapiean Kapitalgesellschaften (verbundene Unternehmen) 100 %/50 % steuerfrei,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:- davon aus verbundenen Unternehmen:Laufende Erträge aus Anteilen Wertpapiean Kapitalgesellschaften (verbundene Unternehmen) 100 %/50 % steuerfrei
7019,Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens aus Finanzverbundenen Unternehmen,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:- davon aus verbundenen Unternehmen:Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens aus Finanzverbundenen Unternehmen
,Laufende Erträge aus Anteilen Wertpapiere an Kapitalgesellschaften (verbundene Unternehmen) 100 %/50 % steuerfrei,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Laufende Erträge aus Anteilen Wertpapiere an Kapitalgesellschaften (verbundene Unternehmen) 100 %/50 % steuerfrei
7010,Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens
7011,Erträge aus Ausleihungen des Finanzanlagevermögens,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Erträge aus Ausleihungen des Finanzanlagevermögens
7012,Erträge aus Ausleihungen des Finanzanlagevermögens an verbundenen Unternehmen,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Erträge aus Ausleihungen des Finanzanlagevermögens an verbundenen Unternehmen
7013,Erträge aus Anteilen an Personengesellschaften (Finanzanlagevermögen),10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Erträge aus Anteilen an Personengesellschaften (Finanzanlagevermögen)
7014,Laufende Erträge aus Anteilen an Kapitalgesellschaften (Finanzanlagevermögen) 100 %/50 % steuerfrei,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Laufende Erträge aus Anteilen an Kapitalgesellschaften (Finanzanlagevermögen) 100 %/50 % steuerfrei
7016,Erträge aus Anteilen an Personengesellschaften (verbundene Unternehmen),10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Erträge aus Anteilen an Personengesellschaften (verbundene Unternehmen)
7017,Erträge aus anderen Wertpapieren des Finanzanlagevermögens an Kapitalgesellschaften (verbundene Unternehmen),10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Erträge aus anderen Wertpapieren des Finanzanlagevermögens an Kapitalgesellschaften (verbundene Unternehmen)
7018,Erträge aus anderen Wertpapieren des Finanzanlagevermögens an Personengesellschaften (verbundene Unternehmen),10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Erträge aus anderen Wertpapieren des Finanzanlagevermögens an Personengesellschaften (verbundene Unternehmen)
7020,Zins- und Dividendenerträge,10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Zins- und Dividendenerträge
7030,Erhaltene Ausgleichszahlungen (als außenstehender Aktionär),10. Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens:Erhaltene Ausgleichszahlungen (als außenstehender Aktionär)
,11. sonstige Zinsen und ähnliche Erträge,11. sonstige Zinsen und ähnliche Erträge
,- davon aus verbundenen Unternehmen,11. sonstige Zinsen und ähnliche Erträge:- davon aus verbundenen Unternehmen
7104,Laufende Erträge aus Anteilen an Kapitalgesellschaften (verbundene Unternehmen) 100 % / 50% steuerfrei,11. sonstige Zinsen und ähnliche Erträge:- davon aus verbundenen Unternehmen:Laufende Erträge aus Anteilen an Kapitalgesellschaften (verbundene Unternehmen) 100 % / 50% steuerfrei
7109,Sonstige Zinsen und ähnliche Erträge aus verbundenen Unternehmen,11. sonstige Zinsen und ähnliche Erträge:- davon aus verbundenen Unternehmen:Sonstige Zinsen und ähnliche Erträge aus verbundenen Unternehmen
7119,Sonstige Zinserträge aus verbundenen Unternehmen,11. sonstige Zinsen und ähnliche Erträge:- davon aus verbundenen Unternehmen:Sonstige Zinserträge aus verbundenen Unternehmen
7129,Zinsähnliche Erträge aus verbundenen Unternehmen,11. sonstige Zinsen und ähnliche Erträge:- davon aus verbundenen Unternehmen:Zinsähnliche Erträge aus verbundenen Unternehmen
7139,Diskonterträge aus verbundenen Unternehmen,11. sonstige Zinsen und ähnliche Erträge:- davon aus verbundenen Unternehmen:Diskonterträge aus verbundenen Unternehmen
,"Erträge aus Verlustübernahme und aufgrund einer Gewinngemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags erhaltene Gewinne","11. sonstige Zinsen und ähnliche Erträge:Erträge aus Verlustübernahme und aufgrund einer Gewinngemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags erhaltene Gewinne"
7190,Erträge aus Verlustübernahme,"11. sonstige Zinsen und ähnliche Erträge:Erträge aus Verlustübernahme und aufgrund einer Gewinngemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags erhaltene Gewinne:Erträge aus Verlustübernahme"
7192,Erhaltene Gewinne aufgrund einer Gewinngemeinschaft,"11. sonstige Zinsen und ähnliche Erträge:Erträge aus Verlustübernahme und aufgrund einer Gewinngemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags erhaltene Gewinne:Erhaltene Gewinne aufgrund einer Gewinngemeinschaft"
7194,Erhaltene Gewinne aufgrund eines Gewinn- oder Teilgewinnabführungsvertrags,"11. sonstige Zinsen und ähnliche Erträge:Erträge aus Verlustübernahme und aufgrund einer Gewinngemeinschaft, eines Gewinn- oder Teilgewinnabführungsvertrags erhaltene Gewinne:Erhaltene Gewinne aufgrund eines Gewinn- oder Teilgewinnabführungsvertrags"
7100,Sonstige Zinsen und ähnliche Erträge,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge
7103,Laufende Erträge aus Anteilen an Kapitalgesellschaften (Umlaufvermögen) 100 %/50 % steuerfrei,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Laufende Erträge aus Anteilen an Kapitalgesellschaften (Umlaufvermögen) 100 %/50 % steuerfrei
7105,Zinserträge §233a AO,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Zinserträge §233a AO
7106,Zinserträge §233a AO Sonderfall Anlage A KSt,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Zinserträge §233a AO Sonderfall Anlage A KSt
7107,"Zinserträge § 233a AO und § 4 Abs. 5b EStG, steuerfrei","11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Zinserträge § 233a AO und § 4 Abs. 5b EStG, steuerfrei"
7110,Sonstige Zinserträge,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Sonstige Zinserträge
7115,Erträge aus anderen Wertpapieren und Ausleihungen des Umlaufvermögens,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Erträge aus anderen Wertpapieren und Ausleihungen des Umlaufvermögens
7120,Zinsähnliche Erträge,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Zinsähnliche Erträge
7130,Diskonterträge,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Diskonterträge
7140,Steuerfreie Zinserträge aus der Abzinsung von Rückstellungen,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Steuerfreie Zinserträge aus der Abzinsung von Rückstellungen
7141,Zinserträge aus der Abzinsung von Verbindlichkeiten,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Zinserträge aus der Abzinsung von Verbindlichkeiten
7142,Zinserträge aus der Abzinsung von Rückstellungen,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Zinserträge aus der Abzinsung von Rückstellungen
7143,Zinserträge aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Zinserträge aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen
7144,Zinserträge aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen zur Verrechnung nach § 246 Abs. 2 HGB,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Zinserträge aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen zur Verrechnung nach § 246 Abs. 2 HGB
7145,Erträge aus Vermögensgegenständen zur Verrechnung nach § 246 Abs. 2 HGB,11. sonstige Zinsen und ähnliche Erträge:Sonstige Zinsen und ähnliche Erträge:Erträge aus Vermögensgegenständen zur Verrechnung nach § 246 Abs. 2 HGB
,14. Ergebnis der gewöhnlichen Geschäftstätigkeit,14. Ergebnis der gewöhnlichen Geschäftstätigkeit
,15. Sonstige betriebliche Erträge,15. Sonstige betriebliche Erträge
7451,Erträge durch Verschmelzung und Umwandlung,15. Sonstige betriebliche Erträge:Erträge durch Verschmelzung und Umwandlung
7454,Gewinn aus der Veräußerung oder der Aufgabe von Geschäftsaktivitäten nach Steuern,15. Sonstige betriebliche Erträge:Gewinn aus der Veräußerung oder der Aufgabe von Geschäftsaktivitäten nach Steuern
7460,Erträge aus der Anwendung von Übergangsvorschriften,15. Sonstige betriebliche Erträge:Erträge aus der Anwendung von Übergangsvorschriften
7464,Erträge aus der Anwendung von Übergangsvorschriften (latente Steuern),15. Sonstige betriebliche Erträge:Erträge aus der Anwendung von Übergangsvorschriften (latente Steuern)
,17. außerordentliches Ergebnis,17. außerordentliches Ergebnis
,05. Materialaufwand,05. Materialaufwand
,"a) Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren","05. Materialaufwand:a) Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren"
